match_id,player_id,is_keeper,is_captain
335987,1,0,1
335987,2,0,0
335987,3,0,0
335987,4,0,0
335987,5,0,0
335987,6,0,1
335987,7,0,0
335987,8,0,0
335987,9,0,0
335987,10,0,0
335987,11,1,0
335987,12,0,0
335987,13,0,0
335987,14,0,0
335987,15,0,0
335987,16,0,0
335987,63,0,0
335987,62,1,0
335987,82,0,0
335987,106,0,0
335987,83,0,0
335987,84,0,0
335988,17,0,0
335988,18,0,0
335988,19,0,0
335988,20,1,1
335988,21,0,0
335988,22,0,0
335988,23,0,0
335988,24,0,0
335988,25,0,0
335988,26,1,0
335988,27,0,1
335988,28,0,0
335988,29,0,0
335988,119,0,0
335988,435,0,0
335988,120,0,0
335988,121,0,0
335988,466,0,0
335988,66,0,0
335988,67,0,0
335988,68,0,0
335988,77,0,0
335989,30,0,0
335989,31,0,0
335989,32,0,0
335989,33,0,0
335989,34,0,0
335989,35,0,0
335989,36,1,0
335989,37,0,0
335989,38,0,1
335989,39,0,0
335989,40,0,0
335989,41,0,1
335989,42,0,0
335989,126,0,0
335989,87,0,0
335989,88,1,0
335989,89,0,0
335989,171,0,0
335989,175,0,0
335989,90,0,0
335989,436,0,0
335989,118,0,0
335990,43,1,0
335990,44,0,0
335990,45,0,0
335990,46,0,0
335990,47,0,0
335990,48,0,0
335990,49,0,0
335990,50,0,1
335990,51,0,0
335990,6,0,1
335990,52,0,0
335990,9,0,0
335990,8,0,0
335990,11,1,0
335990,12,0,0
335990,72,0,0
335990,73,0,0
335990,80,0,0
335990,14,0,0
335990,15,0,0
335990,16,0,0
335990,81,0,0
335991,53,1,0
335991,54,0,0
335991,55,0,1
335991,56,0,0
335991,57,0,0
335991,58,0,0
335991,232,0,0
335991,59,0,0
335991,60,0,0
335991,61,0,0
335991,131,0,0
335991,62,1,0
335991,2,0,0
335991,3,0,0
335991,1,0,1
335991,4,0,0
335991,5,0,0
335991,63,0,0
335991,82,0,0
335991,106,0,0
335991,83,0,0
335991,84,0,0
335992,24,0,0
335992,25,0,0
335992,26,1,0
335992,64,0,0
335992,27,0,1
335992,29,0,0
335992,65,0,0
335992,66,0,0
335992,67,0,0
335992,68,0,0
335992,33,0,0
335992,69,1,0
335992,31,0,0
335992,32,0,0
335992,34,0,0
335992,35,0,0
335992,77,0,0
335992,75,0,0
335992,37,0,0
335992,38,0,1
335992,39,0,0
335992,126,0,0
335993,53,1,0
335993,54,0,0
335993,55,0,1
335993,56,0,0
335993,57,0,0
335993,70,0,0
335993,59,0,0
335993,232,0,0
335993,60,0,0
335993,61,0,0
335993,40,0,0
335993,41,0,1
335993,42,0,0
335993,131,0,0
335993,86,0,0
335993,88,1,0
335993,87,0,0
335993,89,0,0
335993,90,0,0
335993,117,0,0
335993,91,0,0
335993,118,0,0
335994,17,0,0
335994,18,0,0
335994,19,0,0
335994,21,0,0
335994,20,1,1
335994,22,0,0
335994,23,0,0
335994,43,1,0
335994,44,0,0
335994,46,0,0
335994,49,0,0
335994,71,0,0
335994,48,0,0
335994,72,0,0
335994,50,0,1
335994,73,0,0
335994,119,0,0
335994,435,0,0
335994,120,0,0
335994,121,0,0
335994,150,0,0
335994,80,0,0
335995,53,1,0
335995,55,0,1
335995,70,0,0
335995,56,0,0
335995,57,0,0
335995,232,0,0
335995,69,1,0
335995,74,0,0
335995,31,0,0
335995,32,0,0
335995,33,0,0
335995,35,0,0
335995,38,0,1
335995,37,0,0
335995,75,0,0
335995,59,0,0
335995,60,0,0
335995,61,0,0
335995,131,0,0
335995,99,0,0
335995,39,0,0
335995,126,0,0
335996,24,0,0
335996,29,0,0
335996,26,1,0
335996,27,0,1
335996,76,0,0
335996,64,0,0
335996,65,0,0
335996,66,0,0
335996,67,0,0
335996,77,0,0
335996,78,0,0
335996,43,1,0
335996,44,0,0
335996,46,0,0
335996,71,0,0
335996,79,0,0
335996,49,0,0
335996,48,0,0
335996,50,0,1
335996,72,0,0
335996,80,0,0
335996,73,0,0
335997,51,0,0
335997,6,0,1
335997,52,0,0
335997,9,0,0
335997,8,0,0
335997,11,1,0
335997,14,0,0
335997,16,0,0
335997,15,0,0
335997,81,0,0
335997,74,0,0
335997,36,1,0
335997,31,0,0
335997,32,0,0
335997,33,0,0
335997,124,0,0
335997,35,0,0
335997,37,0,0
335997,38,0,1
335997,102,0,0
335997,39,0,0
